资源类型,资源编号,机型,阶段,关联架次,开始时刻（s）,结束时刻（s）
运输无人机,U05,B,执行架次,Q2-001,0.0,1554.5722429043155
共享电池,B-BAT-01,B,随架次占用,Q2-001,0.0,1554.5722429043155
共享电池,B-BAT-01,B,两阶段充电,Q2-001,1554.5722429043155,3010.340823156983
运输无人机,U02,A,执行架次,Q2-002,0.0,1612.0245159085694
共享电池,A-BAT-02,A,随架次占用,Q2-002,0.0,1612.0245159085694
共享电池,A-BAT-02,A,两阶段充电,Q2-002,1612.0245159085694,2677.5861245302835
运输无人机,U06,B,执行架次,Q2-003,0.0,1923.8014247171473
共享电池,B-BAT-02,B,随架次占用,Q2-003,0.0,1923.8014247171473
共享电池,B-BAT-02,B,两阶段充电,Q2-003,1923.8014247171473,3784.3852895739883
运输无人机,U01,A,执行架次,Q2-004,0.0,2007.7326728867874
共享电池,A-BAT-01,A,随架次占用,Q2-004,0.0,2007.7326728867874
共享电池,A-BAT-01,A,两阶段充电,Q2-004,2007.7326728867874,3353.9187592712433
运输无人机,U04,A,执行架次,Q2-005,0.0,2176.205891832879
共享电池,A-BAT-04,A,随架次占用,Q2-005,0.0,2176.205891832879
共享电池,A-BAT-04,A,两阶段充电,Q2-005,2176.205891832879,3603.9786486435796
运输无人机,U03,A,执行架次,Q2-006,0.0,2183.961185235387
共享电池,A-BAT-03,A,随架次占用,Q2-006,0.0,2183.961185235387
共享电池,A-BAT-03,A,两阶段充电,Q2-006,2183.961185235387,3579.113871125993
运输无人机,U08,C,执行架次,Q2-007,0.0,2719.806341817026
共享电池,C-BAT-02,C,随架次占用,Q2-007,0.0,2719.806341817026
共享电池,C-BAT-02,C,两阶段充电,Q2-007,2719.806341817026,5069.703902487448
运输无人机,U07,C,执行架次,Q2-008,0.0,2841.0788994377644
共享电池,C-BAT-01,C,随架次占用,Q2-008,0.0,2841.0788994377644
共享电池,C-BAT-01,C,两阶段充电,Q2-008,2841.0788994377644,5184.919784434527
运输无人机,U05,B,执行架次,Q2-009,1554.5722429043155,3423.1706947998787
共享电池,B-BAT-03,B,随架次占用,Q2-009,1554.5722429043155,3423.1706947998787
共享电池,B-BAT-03,B,两阶段充电,Q2-009,3423.1706947998787,5015.971543658252
运输无人机,U02,A,执行架次,Q2-010,1612.0245159085694,3307.783841247527
共享电池,A-BAT-05,A,随架次占用,Q2-010,1612.0245159085694,3307.783841247527
共享电池,A-BAT-05,A,两阶段充电,Q2-010,3307.783841247527,4422.969086198995
运输无人机,U06,B,执行架次,Q2-011,1923.8014247171473,4262.458137836038
共享电池,B-BAT-04,B,随架次占用,Q2-011,1923.8014247171473,4262.458137836038
共享电池,B-BAT-04,B,两阶段充电,Q2-011,4262.458137836038,6220.6084520761315
运输无人机,U01,A,执行架次,Q2-012,2007.7326728867874,3699.2684838048945
共享电池,A-BAT-06,A,随架次占用,Q2-012,2007.7326728867874,3699.2684838048945
共享电池,A-BAT-06,A,两阶段充电,Q2-012,3699.2684838048945,4852.593605029307
运输无人机,U04,A,执行架次,Q2-013,2677.5861245302835,3898.1699894654193
共享电池,A-BAT-02,A,随架次占用,Q2-013,2677.5861245302835,3898.1699894654193
共享电池,A-BAT-02,A,两阶段充电,Q2-013,3898.1699894654193,4731.625721888205
运输无人机,U08,C,执行架次,Q2-014,2719.806341817026,4890.86555707923
共享电池,C-BAT-03,C,随架次占用,Q2-014,2719.806341817026,4890.86555707923
共享电池,C-BAT-03,C,两阶段充电,Q2-014,4890.86555707923,6970.643593815158
运输无人机,U07,C,执行架次,Q2-015,2841.0788994377644,4336.505642017237
共享电池,C-BAT-04,C,随架次占用,Q2-015,2841.0788994377644,4336.505642017237
共享电池,C-BAT-04,C,两阶段充电,Q2-015,4336.505642017237,5879.708411677993
运输无人机,U05,B,执行架次,Q2-016,3423.1706947998787,4813.571642487672
共享电池,B-BAT-01,B,随架次占用,Q2-016,3423.1706947998787,4813.571642487672
共享电池,B-BAT-01,B,两阶段充电,Q2-016,4813.571642487672,6136.931430518975
运输无人机,U07,C,执行架次,Q2-017,5069.703902487448,7180.712040064456
共享电池,C-BAT-02,C,随架次占用,Q2-017,5069.703902487448,7180.712040064456
共享电池,C-BAT-02,C,两阶段充电,Q2-017,7180.712040064456,9672.896424646024
运输无人机,U08,C,执行架次,Q2-018,5184.919784434527,7620.73066265348
共享电池,C-BAT-01,C,随架次占用,Q2-018,5184.919784434527,7620.73066265348
共享电池,C-BAT-01,C,两阶段充电,Q2-018,7620.73066265348,10119.061361031798
运输无人机,U07,C,执行架次,Q2-019,7180.712040064456,9353.897532442219
共享电池,C-BAT-04,C,随架次占用,Q2-019,7180.712040064456,9353.897532442219
共享电池,C-BAT-04,C,两阶段充电,Q2-019,9353.897532442219,11687.635844313585
运输无人机,U08,C,执行架次,Q2-020,7620.73066265348,9692.490557679028
共享电池,C-BAT-03,C,随架次占用,Q2-020,7620.73066265348,9692.490557679028
共享电池,C-BAT-03,C,两阶段充电,Q2-020,9692.490557679028,11994.11008070958
运输无人机,U07,C,执行架次,Q2-021,9672.896424646024,11420.94204181823
共享电池,C-BAT-02,C,随架次占用,Q2-021,9672.896424646024,11420.94204181823
共享电池,C-BAT-02,C,两阶段充电,Q2-021,11420.94204181823,13283.955717654666
