货箱编号,架次编号,服务区编号,物资类型,是否首批保障,硬截止时刻（s）,期望送达时间（s）,交付完成时刻（s）,加权延期（优先系数·s）
S010-MED-01,Q2-001,S010,医疗物资,是,3600.0,3600,1084.8227881188245,0.0
S010-WAT-01,Q2-001,S010,饮用水,是,3600.0,3600,1084.8227881188245,0.0
S010-FOD-01,Q2-001,S010,应急食品,否,,7200,1084.8227881188245,0.0
S013-MED-01,Q2-002,S013,医疗物资,是,3600.0,3600,1083.545591287618,0.0
S013-WAT-01,Q2-002,S013,饮用水,是,3600.0,3600,1083.545591287618,0.0
S012-MED-01,Q2-003,S012,医疗物资,是,7200.0,7200,1271.8307123585737,0.0
S012-WAT-01,Q2-003,S012,饮用水,是,3600.0,3600,1271.8307123585737,0.0
S012-FOD-01,Q2-003,S012,应急食品,否,,7200,1271.8307123585737,0.0
S002-MED-01,Q2-004,S002,医疗物资,是,3600.0,3600,1285.8063364433938,0.0
S002-WAT-01,Q2-004,S002,饮用水,是,3600.0,3600,1285.8063364433938,0.0
S008-MED-01,Q2-005,S008,医疗物资,是,7200.0,7200,1368.3296125831062,0.0
S008-WAT-01,Q2-005,S008,饮用水,是,7200.0,7200,1368.3296125831062,0.0
S004-MED-01,Q2-006,S004,医疗物资,是,7200.0,7200,1373.6272592843602,0.0
S004-WAT-01,Q2-006,S004,饮用水,是,7200.0,7200,1373.6272592843602,0.0
S015-MED-01,Q2-007,S015,医疗物资,是,7200.0,7200,2057.562742620051,0.0
S015-WAT-01,Q2-007,S015,饮用水,是,10800.0,10800,2057.562742620051,0.0
S006-MED-01,Q2-007,S006,医疗物资,是,3600.0,3600,1269.0769430362104,0.0
S006-WAT-01,Q2-007,S006,饮用水,是,3600.0,3600,1269.0769430362104,0.0
S006-WAT-02,Q2-007,S006,饮用水,否,,3600,1269.0769430362104,0.0
S006-WAT-03,Q2-007,S006,饮用水,否,,3600,1269.0769430362104,0.0
S006-FOD-01,Q2-007,S006,应急食品,否,,7200,1269.0769430362104,0.0
S006-HYG-01,Q2-007,S006,生活卫生用品,否,,10800,1269.0769430362104,0.0
S007-MED-01,Q2-008,S007,医疗物资,是,3600.0,3600,2290.4262763394863,0.0
S007-WAT-01,Q2-008,S007,饮用水,是,3600.0,3600,2290.4262763394863,0.0
S007-WAT-02,Q2-008,S007,饮用水,否,,3600,2290.4262763394863,0.0
S007-FOD-01,Q2-008,S007,应急食品,否,,7200,2290.4262763394863,0.0
S007-HYG-01,Q2-008,S007,生活卫生用品,否,,10800,2290.4262763394863,0.0
S001-MED-01,Q2-008,S001,医疗物资,是,3600.0,3600,1164.8983712897361,0.0
S001-MED-02,Q2-008,S001,医疗物资,否,3600.0,3600,1164.8983712897361,0.0
S001-WAT-01,Q2-008,S001,饮用水,是,3600.0,3600,1164.8983712897361,0.0
S011-FOD-01,Q2-008,S011,应急食品,否,,14400,1606.6867783281382,0.0
S014-MED-01,Q2-009,S014,医疗物资,是,7200.0,7200,2796.428135518764,0.0
S014-WAT-01,Q2-009,S014,饮用水,是,3600.0,3600,2796.428135518764,0.0
S014-FOD-01,Q2-009,S014,应急食品,否,,7200,2796.428135518764,0.0
S005-MED-01,Q2-010,S005,医疗物资,是,10800.0,10800,2742.660845244715,0.0
S005-WAT-01,Q2-010,S005,饮用水,是,10800.0,10800,2742.660845244715,0.0
S003-MED-01,Q2-011,S003,医疗物资,是,7200.0,7200,3530.310055090494,0.0
S003-WAT-01,Q2-011,S003,饮用水,是,7200.0,7200,3530.310055090494,0.0
S015-FOD-01,Q2-011,S015,应急食品,否,,14400,3082.0284813522735,0.0
S009-MED-01,Q2-012,S009,医疗物资,是,10800.0,10800,3135.090578345841,0.0
S009-WAT-01,Q2-012,S009,饮用水,是,10800.0,10800,3135.090578345841,0.0
