检查项,是否通过,实际值,允许上限或目标
communication_outage_count,True,0.0,0.0
minimum_hard_deadline_slack_s,True,1437.9082598257187,0.0
relay_soc_Q3-R-01,True,0.7635066834269904,0.2
relay_soc_Q3-R-02,True,0.785856652638794,0.2
relay_soc_Q3-R-03,True,0.7233515195971604,0.2
relay_soc_Q3-R-04,True,0.7878855561560567,0.2
relay_soc_Q3-R-05,True,0.5726373803645853,0.2
relay_soc_Q3-R-06,True,0.6004356520837988,0.2
relay_soc_Q3-R-07,True,0.7627496348234412,0.2
relay_soc_Q3-R-08,True,0.8272836713823375,0.2
relay_soc_Q3-R-09,True,0.7974623249428305,0.2
relay_soc_Q3-R-10,True,0.8619963615017268,0.2
relay_overlap_R01,True,0.0,0.0
relay_overlap_R02,True,0.0,0.0
relay_component_overlap_R-EC-01,True,0.0,0.0
relay_component_overlap_R-EC-02,True,0.0,0.0
relay_component_overlap_R-EC-03,True,0.0,0.0
relay_component_overlap_R-EC-04,True,0.0,0.0
relay_component_overlap_R-EC-05,True,0.0,0.0
relay_component_overlap_R-EC-06,True,0.0,0.0
trajectory_max_sampling_interval_s,True,1.0000000000002274,1.0
